DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,"Front of House Staff","Boundary Stone",boundarystonedc.com,Restaurants,"$18 - $25 an hour",,,Washington,DC,""
1970-01-01,"Business Analyst (Business Systems)","US Bureau of Engraving and Printing",moneyfactory.gov,,"$106,823 - $138,868 a year",Remote,,"Temporarily Remote in Washington",DC,""
1970-01-01,"Program Support Specialist (Open to both U.S. Citizens and F...","US National Highway Traffic Safety Administration",nhtsa.gov,"Public Safety","$74,950 - $97,430 a year",,"Navy Yard area)",Washington,DC," 20590"
1970-01-01,"ASST COMMUNITY MGR","TM ASSOCIATES MANAGEMENT INC",tmamgroup.com,"Real Estate","estimated $34.4k ? $43.6k a year",,"Shaw area)",Washington,DC," 20001"
1970-01-01,"Story Editor - West","The E.W. Scripps Company",scripps.com,"Media Production","estimated $47k ? $59.4k a year",,,Washington,DC,""
1970-01-01,"Paralegal Specialist","US Federal Emergency Management Agency",,,"$61,947 - $97,430 a year",,,Washington,DC,""
1970-01-01,"General Deputy Assistant Secretary","US Assistant Secretary for Community Planning and...",,,"$135,468 - $203,700 a year",,,Washington,DC,""
1970-01-01,"Supervisory Management and Program Analyst","US Federal Emergency Management Agency",,,"$126,233 - $164,102 a year",,,Washington,DC,""
1970-01-01,"Ticket/Gate Agent (Customer Service Agent) - DCA",Delta,deltacompanies.com,,,,,Washington,DC,""
1970-01-01,"Customer Service Agent","American Airlines",aa.com,Airlines/Aviation,,,"Downtown area)",Washington,DC," 20036"
1970-01-01,"Front Desk Agent","Marriott International, Inc",,,,,"West End area)",Washington,DC,""
1970-01-01,"Human Resources Assistant","US Executive Office for U.S. Attorneys and the...",,,"$40,883 - $53,147 a year",,"Judiciary Square area)",Washington,DC," 20001"
1970-01-01,"Agent-Front Desk","Marriott International, Inc",,,,,"West End area)",Washington,DC,""
1970-01-01,"LIBRARY TECHNICIAN","US Government Publishing Office",gpo.gov,"Government Relations","$50,643 - $65,831 a year",,,Washington,DC,""
1970-01-01,"Human Resources Assistant","Government of the District of Columbia",,,"$47,348 - $60,926 a year",,,Washington,DC,""
1970-01-01,"Interdisciplinary - Cartographer/Geographer/Historian","US National Park Service",nps.gov,"Government Administration","$74,950 - $116,788 a year",,,Washington,DC,""
1970-01-01,"SALES ADMINISTRATIVE ASSISTANT","Grand Hyatt Washington",,,,,"Downtown area)",Washington,DC," 20001"
1970-01-01,"Front Desk - Guest Experience","Marriott International, Inc",,,,,"Downtown area)",Washington,DC,""
1970-01-01,"Security Specialist","US Administrative Office of the U.S. Courts",,,"$89,834 - $168,381 a year",,,Washington,DC,""
1970-01-01,"Real Estate Analyst","US Assistant Secretary for Public and Indian...",,,"$148,484 - $176,300 a year",,,Washington,DC,""
1970-01-01,"Management and Program Analyst","US Administration for Children and Families",cms.gov,"Government Administration","$103,690 - $134,798 a year",,"Southwest Federal Center area)",Washington,DC," 20201"
1970-01-01,"General Deputy Assistant Secretary for Housing","US Assistant Secretary for Housing-Federal Housing...",,,"$135,468 - $203,700 a year",,"Southwest Federal Center area)",Washington,DC," 20410"
1970-01-01,"SCHEDULING & OPERATIONS ASSISTANT","United States Senate",,,"$45,000 a year",,"Capitol Hill area)",Washington,DC," 20510"
1970-01-01,"Program Support Specialist","US Assistant Secretary for Housing-Federal Housing...",,,"$74,950 - $97,430 a year",,,Washington,DC,""
1970-01-01,"Management Analyst","US Office of the Chief Procurement Officer",,,"$89,834 - $116,788 a year",,,Washington,DC,""
1970-01-01,"OR Suite Attendant","Medstar Georgetown University Hospital",medstargeorgetown.org,"Hospital & Health Care",,,"Georgetown area)",Washington,DC," 20007"
1970-01-01,"Standards Editor","The Washington Post",washpost.com,,"estimated $35.2k ? $44.6k a year",,,Washington,DC,""
1970-01-01,"Night Auditor","Homewood Suites Navy Yard",,,,,"Navy Yard area)",Washington,DC," 20003"
1970-01-01,Server,"Marriott International, Inc",,,,,,Washington,DC,""
1970-01-01,"TRAINING INSTRUCTOR","US Defense Intelligence Agency",dia.mil,Military,"$126,233 - $164,102 a year",,,Washington,DC,""
1970-01-01,"Retail Sales Consultant",AT&T,att.com,Telecommunications,"$55,965 a year",,,Washington,DC,""
1970-01-01,"COUNTERINTELLIGENCE AGENT","US Defense Intelligence Agency",dia.mil,Military,"$106,823 - $138,868 a year",,,Washington,DC,""
1970-01-01,"Staff Assistant","Government of the District of Columbia",,,"$52,080 - $67,062 a year",,"NoMa area)",Washington,DC," 20002"
1970-01-01,"Retail Sales Representative",Verizon,verizon.co.in,,"$43,000 - $50,000 a year",,"Downtown area)",Washington,DC," 20004"
1970-01-01,"Administrative Support Specialist","Cherokee Federal",cherokee-federal.com,"Government Relations","$73,000 - $77,677 a year",,,Washington,DC,""
1970-01-01,"IT Specialist (NETWORKSERVICES)","US Government Accountability Office",gao.gov,"Government Administration","$111,683 - $176,300 a year",,"Judiciary Square area)",Washington,DC," 20548"
1970-01-01,"Coordinator, Business Affairs and Operations (Nat Geo Conten...","National Geographic",nationalgeographicpartners.com,Publishing,,,"Downtown area)",Washington,DC," 20036"
1970-01-01,"Request for Proposal: Technology Demonstration Forum (Knowle...","United States Institute of Peace",usip.org,"International Affairs","estimated $39.8k ? $50.4k a year",,"Foggy Bottom area)",Washington,DC," 20037"
1970-01-01,"Security Guard","Allied Universal?",,,,,"Shaw area)",Washington,DC," 20001"
1970-01-01,"Administrative Support","Rice Insurance",riceinsurance.com,Insurance,,,,Washington,DC,""
1970-01-01,"IT Specialist","US Treasury, Departmental Offices",,,"$106,823 - $138,868 a year",,,Washington,DC,""
